Particle_no,Perimeter,Convex_Perimeter,Area,Convex area,Solidity,Convexity,Equi_diameter,Circularity,Compactness,Min_Feret,Max_Feret,Aspect_ratio,Feret_aspect_ratio,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
175,44.9706,41.0647,111,120,0.925,0.913145,11.8882,0.827173,0.689725,10.0499,15.6525,44.3174,0.642063,7,2.23607,15.8571,2.26531
176,26.7279,24.8865,19.5,25.5,0.764706,0.931105,4.98279,0.395655,0.343016,4.12311,11.6619,14.3834,0.353553,11,1.06017,1.77273,0.161157
177,60.7696,47.5285,88,132,0.666667,0.782111,10.5851,0.489535,0.299447,9.21954,20.1246,30.0654,0.458123,20,1.00623,4.4,0.22
178,22.1421,21.2979,26,29.5,0.881356,0.96187,5.75363,0.720297,0.666414,5.65685,7.61577,22.9747,0.742781,6,1.2693,4.33333,0.722222
180,6.82843,6.82843,3,3,1,1,1.95441,0.808518,0.808518,2,2.23607,11.8989,0.894427,2,1.11803,1.5,0.75
181,9.65685,9.65685,6,6,1,1,2.76395,0.808518,0.808518,2.23607,3.60555,13.1542,0.620174,3,1.20185,2,0.666667
182,10.2426,10.0645,6.5,7,0.928571,0.982607,2.87681,0.806379,0.778573,2.82843,3.60555,14.3478,0.784465,2,1.80278,3.25,1.625
183,19.6569,19.2136,16,18,0.888889,0.97745,4.51352,0.544644,0.520357,3.16228,8.06226,15.7932,0.392232,8,1.00778,2,0.25
184,29.5563,28.5658,33.5,40,0.8375,0.966485,6.53097,0.515897,0.481896,4.24264,12.8062,19.1359,0.331295,10,1.28062,3.35,0.335
185,12.2426,12.2426,9.5,9.5,1,1,3.4779,0.796495,0.796495,3.16228,5,14.6667,0.632456,3,1.66667,3.16667,1.05556
186,27.799,24.3653,28,39,0.717949,0.876482,5.97082,0.592685,0.455313,6.32456,9.48683,21.5302,0.666667,8,1.18585,3.5,0.4375
187,30.7279,28.9547,54.5,60,0.908333,0.942294,8.33016,0.816896,0.725337,8.06226,10.198,33.8847,0.790569,8,1.27475,6.8125,0.851563
188,39.799,35.9088,52,67,0.776119,0.902255,8.13686,0.50677,0.412543,6.32456,15.8114,23.0413,0.4,12,1.31762,4.33333,0.361111
189,8.82843,8.65028,4,4.5,0.888889,0.979821,2.25676,0.671753,0.644916,2.23607,3.16228,11.8908,0.707107,3,1.05409,1.33333,0.444444
190,43.6985,36.6188,38.5,59.5,0.647059,0.837989,7.00141,0.360796,0.25336,5,16.6433,18.0366,0.300421,17,0.979019,2.26471,0.133218
192,6.82843,6.82843,3,3,1,1,1.95441,0.808518,0.808518,1.41421,2.82843,10.0379,0.5,2,1.41421,1.5,0.75
193,46.0416,38.5439,63.5,90,0.705556,0.837153,8.9917,0.537121,0.376428,11.4018,13.8924,30.9593,0.820716,14,0.992317,4.53571,0.32398
194,54.8701,44.2116,70.5,120.5,0.585062,0.805751,9.47435,0.453238,0.294258,13.1529,15.2643,32.8434,0.861678,17,0.897902,4.14706,0.243945
195,6.82843,6.82843,2,2,1,1,1.59577,0.539012,0.539012,2,2.82843,8.6019,0.707107,3,0.942809,0.666667,0.222222
196,75.3553,54.3613,96.5,153,0.630719,0.7214,11.0846,0.410352,0.213555,9,23.3452,27.835,0.385518,24,0.972718,4.02083,0.167535
197,23.3137,20.9554,11,17.5,0.628571,0.898846,3.74241,0.314782,0.25432,2.82843,9.84886,11.1474,0.287183,9,1.09432,1.22222,0.135802
198,22.1421,21.2781,25,29,0.862069,0.960977,5.6419,0.693881,0.640783,5.38516,8.24621,21.0497,0.653047,7,1.17803,3.57143,0.510204
199,7.41421,7.41421,3.5,3.5,1,1,2.111,0.800106,0.800106,2,2.82843,11.4692,0.707107,2,1.41421,1.75,0.875
200,6,6,2,2,1,1,1.59577,0.698132,0.698132,1,2.23607,10.1966,0.447214,2,1.11803,1,0.5
201,52.2843,45.5288,83,121,0.68595,0.870793,10.28,0.503171,0.381545,11.1803,18.7883,30.0515,0.595069,19,0.988858,4.36842,0.229917
202,8.82843,8.65028,4,4.5,0.888889,0.979821,2.25676,0.671753,0.644916,2.23607,3.60555,10.7628,0.620174,3,1.20185,1.33333,0.444444
203,15.0711,14.5366,12.5,14,0.892857,0.964539,3.98942,0.743348,0.691563,3.60555,5.38516,17.2365,0.669534,2,2.69258,6.25,3.125
204,67.1127,54.6563,173,217,0.797235,0.814396,14.8415,0.727738,0.482666,16.0312,18.6011,57.2836,0.861844,20,0.930054,8.65,0.4325
205,11.6569,11.2558,6,7.5,0.8,0.965598,2.76395,0.595122,0.554879,2.82843,4.24264,12.6042,0.666667,5,0.848528,1.2,0.24
206,21.8995,21.0088,25.5,28,0.910714,0.959327,5.69804,0.726021,0.668162,5.09902,8.544,21.2695,0.596795,6,1.424,4.25,0.708333
207,42.8701,68.6156,77.5,238.5,0.324948,1.60055,9.93358,0.206855,0.529912,13.6015,29.0172,27.0487,0.468738,15,1.93448,5.16667,0.344444
208,135.539,106.135,609,744,0.818548,0.783057,27.8461,0.679378,0.41658,23.0868,39.6232,90.3697,0.582658,40,0.990581,15.225,0.380625
209,6,6,2,2,1,1,1.59577,0.698132,0.698132,1,2.23607,10.1966,0.447214,2,1.11803,1,0.5
210,15.0711,13.6766,6.5,10.5,0.619048,0.907475,2.87681,0.436682,0.359613,2.82843,5.38516,12.0655,0.525226,5,1.07703,1.3,0.26
211,11.0711,11.0711,5.5,5.5,1,1,2.64628,0.563889,0.563889,2,5,10.0848,0.4,5,1,1.1,0.22
212,51.6985,45.271,107.5,128,0.839844,0.875674,11.6993,0.659141,0.505432,10.4403,18.1108,37.5239,0.576469,18,1.00615,5.97222,0.33179
213,217.38,146.749,782.5,1088.5,0.718879,0.67508,31.5644,0.45661,0.208092,24.0832,64.846,73.2953,0.371391,64,1.01322,12.2266,0.19104
214,122.083,111.449,788,866.5,0.909406,0.912895,31.6751,0.797227,0.664391,26.9258,42.45,107.236,0.634295,35,1.21286,22.5143,0.643265
215,7.41421,7.41421,2.5,2.5,1,1,1.78412,0.571505,0.571505,1.41421,3.16228,9.24891,0.447214,4,0.790569,0.625,0.15625
216,13.0711,12.8929,9.5,10,0.95,0.986371,3.4779,0.718176,0.698733,3.60555,5.09902,14.4478,0.707107,5,1.0198,1.9,0.38
217,19.3137,18.7345,22,24,0.916667,0.970013,5.29257,0.787674,0.741142,5.65685,6.32456,23.2705,0.894427,1,6.32456,22,22
218,63.9411,57.3923,166,192.5,0.862338,0.897581,14.5381,0.633301,0.51022,10.8167,24.4131,42.2194,0.443067,21,1.16253,7.90476,0.376417
219,44.6274,38.5576,86,110,0.781818,0.863988,10.4642,0.726924,0.542631,11.6619,13.1529,41.8057,0.886638,13,1.01177,6.61538,0.508876
220,22.7279,21.6449,26.5,30.5,0.868852,0.952348,5.80869,0.710796,0.644668,5,8.60233,21.1989,0.581238,6,1.43372,4.41667,0.736111
221,21.0711,20.8191,29.5,30.5,0.967213,0.988044,6.12867,0.855277,0.834947,5.65685,7.81025,24.9485,0.724286,3,2.60342,9.83333,3.27778
222,91.7401,63.7844,190,283,0.671378,0.695273,15.5536,0.58686,0.283691,19.105,21.5407,55.737,0.886926,29,0.742781,6.55172,0.225922
223,10.2426,9.88635,5.5,6.5,0.846154,0.965215,2.64628,0.707132,0.658793,2.82843,3.60555,13.1542,0.784465,3,1.20185,1.83333,0.611111
225,8.82843,8.65028,4,4.5,0.888889,0.979821,2.25676,0.671753,0.644916,2.23607,3.60555,10.7628,0.620174,4,0.901388,1,0.25
226,73.598,63.897,248,297,0.835017,0.86819,17.7697,0.763309,0.575347,18.0278,22.1359,67.3827,0.814411,25,0.885438,9.92,0.3968
227,91.7401,69.5943,153,273,0.56044,0.758602,13.9573,0.396967,0.228446,12.3693,28.7924,35.7196,0.429604,31,0.928786,4.93548,0.159209
228,21.0711,20.1977,14.5,18,0.805556,0.958552,4.29674,0.446656,0.410398,5,9.05539,13.6763,0.552158,10,0.905539,1.45,0.145
229,245.48,152.794,477,1545.5,0.308638,0.62243,24.6442,0.256753,0.0994707,38.6264,54.5711,58.135,0.707819,100,0.545711,4.77,0.0477
230,139.012,133.135,565.5,633,0.893365,0.957719,26.8331,0.400923,0.367736,18.6011,62.1691,55.0954,0.299201,57,1.09069,9.92105,0.174054
231,28.4853,24.8313,27,40,0.675,0.871724,5.86323,0.550268,0.41815,6.32456,8.60233,23.6248,0.735215,9,0.955814,3,0.333333
232,14.8284,14.8284,14,14,1,1,4.22201,0.800106,0.800106,3.16228,5.38516,18.9601,0.58722,3,1.79505,4.66667,1.55556
233,18.8284,18.5132,4,6,0.666667,0.98326,2.25676,0.146658,0.141789,1.41421,9.05539,7.65823,0.156174,10,0.905539,0.4,0.04
234,51.1127,38.1771,40,84.5,0.473373,0.746921,7.1365,0.344876,0.192403,7.81025,15.2971,20.6872,0.510572,18,0.849837,2.22222,0.123457
235,23.3137,22.8836,37,38.5,0.961039,0.981552,6.86366,0.887896,0.855439,6.40312,8.06226,29.5723,0.79421,4,2.01556,9.25,2.3125
236,25.5563,24.8438,38.5,40.5,0.950617,0.972117,7.00141,0.783855,0.740752,5.83095,9.84886,25.7666,0.592043,8,1.23111,4.8125,0.601563
237,13.0711,12.8191,10.5,11.5,0.913043,0.980726,3.65637,0.802938,0.772284,3.60555,4.47214,17.0864,0.806226,4,1.11803,2.625,0.65625
238,10.8284,10.5765,5,6,0.833333,0.976734,2.52313,0.56169,0.535857,2,4.47214,11.0565,0.447214,4,1.11803,1.25,0.3125
239,11.6569,11.4787,8,8.5,0.941176,0.984718,3.19154,0.762981,0.739839,2.82843,4.47214,14.0698,0.632456,4,1.11803,2,0.5
240,9.41421,9.41421,5.5,5.5,1,1,2.64628,0.779838,0.779838,2,3.60555,13.1542,0.5547,3,1.20185,1.83333,0.611111
241,11.0711,10.4853,3.5,5,0.7,0.947089,2.111,0.400053,0.358838,2,4.47214,9.04651,0.447214,4,1.11803,0.875,0.21875
243,8.24264,8.0645,3.5,4,0.875,0.978387,2.111,0.676275,0.647359,2,3.16228,10.5677,0.632456,3,1.05409,1.16667,0.388889
244,8.82843,8.82843,5,5,1,1,2.52313,0.806145,0.806145,2,3.16228,13.2096,0.632456,2,1.58114,2.5,1.25
245,17.6569,16.6503,15,16.5,0.909091,0.942993,4.37019,0.67992,0.604609,3.16228,6.7082,16.4104,0.471405,1,6.7082,15,15
246,10.2426,10.0645,4.5,5,0.9,0.982607,2.39365,0.558262,0.539012,2,4.47214,10.0498,0.447214,5,0.894427,0.9,0.18
247,19.8995,15.8863,10.5,15.5,0.677419,0.798329,3.65637,0.522818,0.333208,4.12311,6.40312,14.8649,0.643921,6,1.06719,1.75,0.291667
248,12.2426,11.8126,7.5,9,0.833333,0.96487,3.09019,0.675434,0.628812,3.16228,4.47214,14.0698,0.707107,4,1.11803,1.875,0.46875
249,34.1421,32.0046,31,42.5,0.729412,0.937392,6.28255,0.380319,0.334187,4.12311,14.7648,16.6292,0.279252,13,1.13576,2.38462,0.183432
250,10.2426,10.0645,5.5,6,0.916667,0.982607,2.64628,0.682321,0.658793,3,3.60555,13.1542,0.83205,3,1.20185,1.83333,0.611111
251,15.0711,14.8191,13.5,14.5,0.931034,0.983283,4.14593,0.772499,0.746888,3.60555,5.83095,16.8963,0.618347,4,1.45774,3.375,0.84375
252,13.0711,12.5366,8.5,10,0.85,0.959113,3.28976,0.679621,0.625182,3.16228,5,13.7515,0.632456,5,1,1.7,0.34
253,18.4853,17.5804,16,19.5,0.820513,0.951048,4.51352,0.650538,0.588407,4.12311,7.07107,17.0338,0.583095,7,1.01015,2.28571,0.326531
255,27.5563,23.5115,33.5,40.5,0.82716,0.853214,6.53097,0.761544,0.554385,7.07107,8.24621,27.664,0.857493,7,1.17803,4.78571,0.683673
256,13.6569,13.4787,12,12.5,0.96,0.986956,3.90882,0.830031,0.808518,3.16228,5.09902,17.1582,0.620174,4,1.27475,3,0.75
257,18.4853,18.2426,20,21.5,0.930233,0.986874,5.04627,0.755204,0.735509,4.47214,7.2111,19.5826,0.620174,6,1.20185,3.33333,0.555556
258,26.7279,25.8678,43.5,46.5,0.935484,0.967818,7.44217,0.816924,0.765189,6.08276,10.2956,27.6346,0.59081,5,2.05913,8.7,1.74
259,15.6569,15.3006,15,16,0.9375,0.977244,4.37019,0.805168,0.768939,4.12311,5.83095,18.5053,0.707107,3,1.94365,5,1.66667
260,22.4853,21.8033,30,32.5,0.923077,0.969668,6.18039,0.793027,0.745649,6,7.61577,26.1667,0.787839,4,1.90394,7.5,1.875
261,30.1421,22.2847,23,35,0.657143,0.73932,5.41152,0.582002,0.318119,5.83095,8.48528,21.9471,0.687184,11,0.771389,2.09091,0.190083
262,26.7279,22.8033,23.5,36,0.652778,0.853163,5.47002,0.567915,0.413378,6.40312,8.48528,21.3529,0.754615,10,0.848528,2.35,0.235
263,17.6569,17.0486,14,16,0.875,0.965553,4.22201,0.605284,0.564302,3.16228,7.28011,15.2923,0.434372,7,1.04002,2,0.285714
264,30.9706,28.7597,37,49,0.755102,0.928614,6.86366,0.562138,0.484745,7.07107,11.7047,22.3594,0.604122,12,0.975392,3.08333,0.256944
265,12.8284,12.8284,9,9,1,1,3.38514,0.687235,0.687235,2.23607,5.38516,13.7892,0.415227,5,1.07703,1.8,0.36
266,36.1421,27.4907,33,51.5,0.640777,0.760627,6.48204,0.548722,0.317465,7.07107,10.8167,23.4496,0.65372,11,0.983332,3,0.272727
267,23.8995,23.0684,33.5,36.5,0.917808,0.965225,6.53097,0.791079,0.737017,6.32456,8.60233,25.9295,0.735215,6,1.43372,5.58333,0.930556
268,23.5563,21.8995,28.5,31.5,0.904762,0.929664,6.0239,0.746769,0.645415,5,8.60233,22.4724,0.581238,6,1.43372,4.75,0.791667
269,19.3137,16.2333,14,18,0.777778,0.840509,4.22201,0.667608,0.471636,4,6.08276,17.841,0.657596,6,1.01379,2.33333,0.388889
270,12.8284,12.6503,8,8.5,0.941176,0.986113,3.19154,0.628202,0.610876,2.82843,5.38516,12.9288,0.525226,5,1.07703,1.6,0.32
271,27.5563,26.7055,46.5,50,0.93,0.969123,7.69452,0.819336,0.769519,6.40312,10,29.6478,0.640312,2,5,23.25,11.625
