Particle_no,Area,Convex area,Perimeter,Convex_Perimeter,Max_Feret,Min_Feret,Aspect_ratio,Feret_aspect_ratio,Circularity,Convexity,Solidity,Equi_diameter,Compactness,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
227,153,273,91.7401,69.5943,28.7924,12.3693,35.7196,0.429604,0.396967,0.758602,0.56044,13.9573,0.228446,31,0.928786,4.93548,0.159209
228,14.5,18,21.0711,20.1977,9.05539,5,13.6763,0.552158,0.446656,0.958552,0.805556,4.29674,0.410398,10,0.905539,1.45,0.145
229,477,1545.5,245.48,152.794,54.5711,38.6264,58.135,0.707819,0.256753,0.62243,0.308638,24.6442,0.0994707,100,0.545711,4.77,0.0477
230,565.5,633,139.012,133.135,62.1691,18.6011,55.0954,0.299201,0.400923,0.957719,0.893365,26.8331,0.367736,57,1.09069,9.92105,0.174054
231,27,40,28.4853,24.8313,8.60233,6.32456,23.6248,0.735215,0.550268,0.871724,0.675,5.86323,0.41815,9,0.955814,3,0.333333
232,14,14,14.8284,14.8284,5.38516,3.16228,18.9601,0.58722,0.800106,1,1,4.22201,0.800106,3,1.79505,4.66667,1.55556
233,4,6,18.8284,18.5132,9.05539,1.41421,7.65823,0.156174,0.146658,0.98326,0.666667,2.25676,0.141789,10,0.905539,0.4,0.04
234,40,84.5,51.1127,38.1771,15.2971,7.81025,20.6872,0.510572,0.344876,0.746921,0.473373,7.1365,0.192403,18,0.849837,2.22222,0.123457
235,37,38.5,23.3137,22.8836,8.06226,6.40312,29.5723,0.79421,0.887896,0.981552,0.961039,6.86366,0.855439,4,2.01556,9.25,2.3125
236,38.5,40.5,25.5563,24.8438,9.84886,5.83095,25.7666,0.592043,0.783855,0.972117,0.950617,7.00141,0.740752,8,1.23111,4.8125,0.601563
237,10.5,11.5,13.0711,12.8191,4.47214,3.60555,17.0864,0.806226,0.802938,0.980726,0.913043,3.65637,0.772284,4,1.11803,2.625,0.65625
238,5,6,10.8284,10.5765,4.47214,2,11.0565,0.447214,0.56169,0.976734,0.833333,2.52313,0.535857,4,1.11803,1.25,0.3125
239,8,8.5,11.6569,11.4787,4.47214,2.82843,14.0698,0.632456,0.762981,0.984718,0.941176,3.19154,0.739839,4,1.11803,2,0.5
240,5.5,5.5,9.41421,9.41421,3.60555,2,13.1542,0.5547,0.779838,1,1,2.64628,0.779838,3,1.20185,1.83333,0.611111
241,3.5,5,11.0711,10.4853,4.47214,2,9.04651,0.447214,0.400053,0.947089,0.7,2.111,0.358838,4,1.11803,0.875,0.21875
243,3.5,4,8.24264,8.0645,3.16228,2,10.5677,0.632456,0.676275,0.978387,0.875,2.111,0.647359,3,1.05409,1.16667,0.388889
244,5,5,8.82843,8.82843,3.16228,2,13.2096,0.632456,0.806145,1,1,2.52313,0.806145,2,1.58114,2.5,1.25
245,15,16.5,17.6569,16.6503,6.7082,3.16228,16.4104,0.471405,0.67992,0.942993,0.909091,4.37019,0.604609,1,6.7082,15,15
246,4.5,5,10.2426,10.0645,4.47214,2,10.0498,0.447214,0.558262,0.982607,0.9,2.39365,0.539012,5,0.894427,0.9,0.18
247,10.5,15.5,19.8995,15.8863,6.40312,4.12311,14.8649,0.643921,0.522818,0.798329,0.677419,3.65637,0.333208,6,1.06719,1.75,0.291667
248,7.5,9,12.2426,11.8126,4.47214,3.16228,14.0698,0.707107,0.675434,0.96487,0.833333,3.09019,0.628812,4,1.11803,1.875,0.46875
249,31,42.5,34.1421,32.0046,14.7648,4.12311,16.6292,0.279252,0.380319,0.937392,0.729412,6.28255,0.334187,13,1.13576,2.38462,0.183432
250,5.5,6,10.2426,10.0645,3.60555,3,13.1542,0.83205,0.682321,0.982607,0.916667,2.64628,0.658793,3,1.20185,1.83333,0.611111
251,13.5,14.5,15.0711,14.8191,5.83095,3.60555,16.8963,0.618347,0.772499,0.983283,0.931034,4.14593,0.746888,4,1.45774,3.375,0.84375
252,8.5,10,13.0711,12.5366,5,3.16228,13.7515,0.632456,0.679621,0.959113,0.85,3.28976,0.625182,5,1,1.7,0.34
253,16,19.5,18.4853,17.5804,7.07107,4.12311,17.0338,0.583095,0.650538,0.951048,0.820513,4.51352,0.588407,7,1.01015,2.28571,0.326531
255,33.5,40.5,27.5563,23.5115,8.24621,7.07107,27.664,0.857493,0.761544,0.853214,0.82716,6.53097,0.554385,7,1.17803,4.78571,0.683673
256,12,12.5,13.6569,13.4787,5.09902,3.16228,17.1582,0.620174,0.830031,0.986956,0.96,3.90882,0.808518,4,1.27475,3,0.75
257,20,21.5,18.4853,18.2426,7.2111,4.47214,19.5826,0.620174,0.755204,0.986874,0.930233,5.04627,0.735509,6,1.20185,3.33333,0.555556
258,43.5,46.5,26.7279,25.8678,10.2956,6.08276,27.6346,0.59081,0.816924,0.967818,0.935484,7.44217,0.765189,5,2.05913,8.7,1.74
259,15,16,15.6569,15.3006,5.83095,4.12311,18.5053,0.707107,0.805168,0.977244,0.9375,4.37019,0.768939,3,1.94365,5,1.66667
260,30,32.5,22.4853,21.8033,7.61577,6,26.1667,0.787839,0.793027,0.969668,0.923077,6.18039,0.745649,4,1.90394,7.5,1.875
261,23,35,30.1421,22.2847,8.48528,5.83095,21.9471,0.687184,0.582002,0.73932,0.657143,5.41152,0.318119,11,0.771389,2.09091,0.190083
262,23.5,36,26.7279,22.8033,8.48528,6.40312,21.3529,0.754615,0.567915,0.853163,0.652778,5.47002,0.413378,10,0.848528,2.35,0.235
263,14,16,17.6569,17.0486,7.28011,3.16228,15.2923,0.434372,0.605284,0.965553,0.875,4.22201,0.564302,7,1.04002,2,0.285714
264,37,49,30.9706,28.7597,11.7047,7.07107,22.3594,0.604122,0.562138,0.928614,0.755102,6.86366,0.484745,12,0.975392,3.08333,0.256944
265,9,9,12.8284,12.8284,5.38516,2.23607,13.7892,0.415227,0.687235,1,1,3.38514,0.687235,5,1.07703,1.8,0.36
266,33,51.5,36.1421,27.4907,10.8167,7.07107,23.4496,0.65372,0.548722,0.760627,0.640777,6.48204,0.317465,11,0.983332,3,0.272727
267,33.5,36.5,23.8995,23.0684,8.60233,6.32456,25.9295,0.735215,0.791079,0.965225,0.917808,6.53097,0.737017,6,1.43372,5.58333,0.930556
268,28.5,31.5,23.5563,21.8995,8.60233,5,22.4724,0.581238,0.746769,0.929664,0.904762,6.0239,0.645415,6,1.43372,4.75,0.791667
269,14,18,19.3137,16.2333,6.08276,4,17.841,0.657596,0.667608,0.840509,0.777778,4.22201,0.471636,6,1.01379,2.33333,0.388889
270,8,8.5,12.8284,12.6503,5.38516,2.82843,12.9288,0.525226,0.628202,0.986113,0.941176,3.19154,0.610876,5,1.07703,1.6,0.32
271,46.5,50,27.5563,26.7055,10,6.40312,29.6478,0.640312,0.819336,0.969123,0.93,7.69452,0.769519,2,5,23.25,11.625
272,15.5,16,15.0711,14.8929,5.38516,4.12311,19.8234,0.765641,0.878176,0.98818,0.96875,4.44243,0.857538,3,1.79505,5.16667,1.72222
273,4,4.5,8.82843,8.65028,3.16228,2.23607,11.8908,0.707107,0.671753,0.979821,0.888889,2.25676,0.644916,3,1.05409,1.33333,0.444444
274,5,6,10.8284,10.4721,4.47214,2.23607,11.0565,0.5,0.57294,0.967097,0.833333,2.52313,0.535857,5,0.894427,1,0.2
275,17.5,20,17.8995,17.1131,6.7082,4.12311,18.9063,0.614636,0.750913,0.956067,0.875,4.72035,0.686383,4,1.67705,4.375,1.09375
276,14.5,15.5,15.0711,14.7148,5.38516,4,18.9601,0.742781,0.841532,0.976359,0.935484,4.29674,0.802213,4,1.34629,3.625,0.90625
277,58.5,82,42.3848,33.9166,12.3693,9.05539,32.5,0.732084,0.63906,0.800207,0.713415,8.63044,0.40921,14,0.883523,4.17857,0.298469
279,23.5,25,19.0711,18.641,6.7082,5.38516,23.9976,0.802773,0.849845,0.977448,0.94,5.47002,0.811947,4,1.67705,5.875,1.46875
280,18,19.5,18.1421,17.7121,6.7082,3.60555,18.5495,0.537484,0.721015,0.976294,0.923077,4.78731,0.687235,5,1.34164,3.6,0.72
